start_date,end_date,duration_days,peak_intensity_c,mean_intensity_c,cumulative_intensity_c,year,event_id,category,threshold_excess_mean_c,threshold_excess_peak_c,observed_peak_sst_c
1995-04-02 00:00:00,1995-04-28 00:00:00,27,0.680135,0.41641,11.243081,1995,1995_01,Strong,0.538751901,0.638715687,30.21363424
1995-07-14 00:00:00,1995-07-19 00:00:00,6,0.097682,0.058422,0.35053,1995,1995_02,Moderate,0.463868031,0.463868031,28.98668845
1996-03-17 00:00:00,1996-03-25 00:00:00,9,0.54885,0.259055,2.331494,1996,1996_01,Strong,0.431581026,0.441072281,28.69600206
1996-04-07 00:00:00,1996-04-25 00:00:00,19,0.446915,0.209826,3.986689,1996,1996_02,Moderate,0.547439364,0.619180012,29.68905463
1996-06-09 00:00:00,1996-06-13 00:00:00,5,0.055535,0.031764,0.158819,1996,1996_03,Moderate,0.471260003,0.471260003,29.3330727
1997-05-04 00:00:00,1997-05-10 00:00:00,7,0.270243,0.13873,0.971108,1997,1997_01,Moderate,0.763593569,0.763593569,30.27208419
1997-10-07 00:00:00,1997-10-18 00:00:00,12,0.226006,0.122109,1.465304,1997,1997_02,Moderate,0.486021456,0.486021456,29.41843261
1997-10-21 00:00:00,1997-10-28 00:00:00,8,0.431503,0.246674,1.973393,1997,1997_03,Strong,0.417340624,0.417340624,29.10221314
1998-04-24 00:00:00,1998-05-21 00:00:00,28,0.68744,0.335334,9.389338,1998,1998_01,Moderate,0.734596867,0.770587755,30.83493956
1999-01-08 00:00:00,1999-01-17 00:00:00,10,0.37483,0.200422,2.004218,1999,1999_01,Moderate,0.460093483,0.461545827,27.52485287
1999-02-25 00:00:00,1999-03-02 00:00:00,6,0.221031,0.172924,1.037545,1999,1999_02,Moderate,0.44223294,0.44223294,28.10554131
1999-03-21 00:00:00,1999-03-27 00:00:00,7,0.501949,0.327716,2.294015,1999,1999_03,Strong,0.428287429,0.428287429,29.11510538
2000-02-11 00:00:00,2000-02-15 00:00:00,5,0.228232,0.15286,0.764301,2000,2000_01,Moderate,0.433304675,0.433304675,27.21794126
2000-03-20 00:00:00,2000-03-26 00:00:00,7,0.245436,0.133702,0.935913,2000,2000_02,Moderate,0.441340712,0.441340712,28.37713596
2000-09-25 00:00:00,2000-09-30 00:00:00,6,0.150946,0.089742,0.538452,2000,2000_03,Moderate,,,
2000-11-02 00:00:00,2000-11-08 00:00:00,7,0.383387,0.236542,1.655794,2000,2000_04,Strong,0.358318033,0.358318033,28.72124148
2001-04-05 00:00:00,2001-04-18 00:00:00,14,0.313948,0.153963,2.155477,2001,2001_01,Moderate,0.521661608,0.553037275,29.83051553
2001-04-20 00:00:00,2001-04-27 00:00:00,8,0.238339,0.094473,0.755781,2001,2001_02,Moderate,0.627948784,0.627948784,29.9111809
2002-04-22 00:00:00,2002-04-26 00:00:00,5,0.232369,0.117811,0.589057,2002,2002_01,Moderate,,,
2002-09-30 00:00:00,2002-10-05 00:00:00,6,0.481316,0.361129,2.166774,2002,2002_02,Moderate,,,
2002-10-28 00:00:00,2002-11-01 00:00:00,5,0.053574,0.032976,0.16488,2002,2002_03,Moderate,,,
2002-11-28 00:00:00,2002-12-05 00:00:00,8,0.377194,0.153996,1.231969,2002,2002_04,Moderate,0.406891464,0.406891464,28.3633471
2003-02-15 00:00:00,2003-02-22 00:00:00,8,0.134147,0.08747,0.69976,2003,2003_01,Moderate,0.431023868,0.431023868,27.99240567
2003-04-06 00:00:00,2003-04-14 00:00:00,9,0.216235,0.107097,0.96387,2003,2003_02,Moderate,0.503149427,0.530504594,29.89873131
2003-04-16 00:00:00,2003-05-02 00:00:00,17,0.579726,0.255741,4.347601,2003,2003_03,Moderate,0.65444466,0.700637061,30.4206895
2004-04-11 00:00:00,2004-05-02 00:00:00,22,0.568507,0.155635,3.423962,2004,2004_01,Moderate,0.62989648,0.752652392,30.16856817
2004-11-10 00:00:00,2004-11-14 00:00:00,5,0.172668,0.102294,0.511471,2004,2004_02,Moderate,0.353751907,0.353751907,28.57425832
2005-04-22 00:00:00,2005-05-07 00:00:00,16,0.48049,0.232292,3.716667,2005,2005_01,Moderate,0.699243151,0.745333904,30.32812648
2005-08-27 00:00:00,2005-09-02 00:00:00,7,0.373173,0.216233,1.513633,2005,2005_02,Moderate,0.483139679,0.483139679,29.30890908
2006-03-04 00:00:00,2006-03-11 00:00:00,8,0.320809,0.166387,1.331099,2006,2006_01,Moderate,0.438659513,0.438659513,28.63306404
2006-10-19 00:00:00,2006-10-24 00:00:00,6,0.190136,0.124466,0.746798,2006,2006_02,Moderate,0.451254696,0.451254696,29.0607178
2006-10-30 00:00:00,2006-11-03 00:00:00,5,0.057324,0.022147,0.110735,2006,2006_03,Moderate,,,
2006-11-05 00:00:00,2006-11-09 00:00:00,5,0.150647,0.096825,0.484125,2006,2006_04,Moderate,0.358318033,0.358318033,28.96632037
2006-11-23 00:00:00,2006-12-01 00:00:00,9,0.356064,0.220182,1.981637,2006,2006_05,Moderate,0.388611388,0.388611388,28.68087952
2007-04-20 00:00:00,2007-04-27 00:00:00,8,0.209904,0.130877,1.047016,2007,2007_01,Moderate,0.627948784,0.627948784,29.93678582
2007-04-29 00:00:00,2007-05-06 00:00:00,8,0.171343,0.105847,0.846777,2007,2007_02,Moderate,0.749334714,0.771250736,30.01851257
2007-06-08 00:00:00,2007-06-27 00:00:00,20,0.238699,0.158113,3.162265,2007,2007_03,Moderate,0.436911859,0.466163083,29.78338181
2008-10-02 00:00:00,2008-10-27 00:00:00,26,0.450159,0.252512,6.565313,2008,2008_01,Moderate,0.461713216,0.486021456,29.63805436
2008-11-04 00:00:00,2008-11-08 00:00:00,5,0.101569,0.053627,0.268137,2008,2008_02,Moderate,,,
2009-08-15 00:00:00,2009-08-25 00:00:00,11,0.299655,0.154719,1.701908,2009,2009_01,Moderate,0.497529488,0.503631365,29.18117756
2009-10-27 00:00:00,2009-11-01 00:00:00,6,0.071334,0.033126,0.198759,2009,2009_02,Moderate,0.380374871,0.380374871,28.84311009
2009-12-13 00:00:00,2009-12-24 00:00:00,12,0.389205,0.198236,2.378833,2009,2009_03,Moderate,0.448067094,0.449389219,28.30068405
2010-04-16 00:00:00,2010-04-22 00:00:00,7,0.105049,0.06566,0.459619,2010,2010_01,Moderate,0.585720594,0.585720594,30.4208953
2010-04-24 00:00:00,2010-05-20 00:00:00,27,0.445849,0.240489,6.49321,2010,2010_02,Moderate,0.731454519,0.773706068,30.88574387
2011-01-01 00:00:00,2011-01-05 00:00:00,5,0.063954,0.040366,0.201829,2011,2011_01,Moderate,0.440500469,0.440500469,27.65161172
2011-02-17 00:00:00,2011-02-22 00:00:00,6,0.277529,0.212398,1.274391,2011,2011_02,Moderate,0.430761469,0.430761469,28.01774872
2011-03-03 00:00:00,2011-03-07 00:00:00,5,0.025769,0.016111,0.080556,2011,2011_03,Moderate,0.435115809,0.435115809,28.43299002
2011-10-27 00:00:00,2011-10-31 00:00:00,5,0.073576,0.044612,0.223058,2011,2011_04,Moderate,0.389520841,0.389520841,28.88071458
2011-12-02 00:00:00,2011-12-11 00:00:00,10,0.274319,0.184116,1.841162,2011,2011_05,Moderate,0.433453374,0.442957024,28.41422862
2012-10-21 00:00:00,2012-10-30 00:00:00,10,0.106011,0.039208,0.39208,2012,2012_01,Moderate,0.427523993,0.456174747,29.13330855
2012-11-02 00:00:00,2012-11-08 00:00:00,7,0.159887,0.122906,0.860341,2012,2012_02,Moderate,0.362414661,0.362414661,29.02612084
2012-12-06 00:00:00,2012-12-18 00:00:00,13,0.323584,0.184282,2.39566,2012,2012_03,Moderate,0.445132312,0.451495619,28.35662221
2013-01-18 00:00:00,2013-01-25 00:00:00,8,0.135178,0.073681,0.589448,2013,2013_01,Moderate,0.456715906,0.456715906,27.67864981
2013-03-30 00:00:00,2013-04-04 00:00:00,6,0.094893,0.047739,0.286431,2013,2013_02,Moderate,0.450835183,0.450835183,29.43629079
2013-04-23 00:00:00,2013-05-01 00:00:00,9,0.136934,0.063043,0.567386,2013,2013_03,Moderate,0.714102306,0.714102306,30.0560178
2013-11-19 00:00:00,2013-11-24 00:00:00,6,0.067412,0.028712,0.172271,2013,2013_04,Moderate,0.377265269,0.377265269,28.53759067
2014-04-19 00:00:00,2014-05-10 00:00:00,22,0.512855,0.360391,7.92861,2014,2014_01,Moderate,0.69082763,0.763593569,30.61810224
2014-10-24 00:00:00,2014-10-29 00:00:00,6,0.158149,0.083082,0.498492,2014,2014_02,Moderate,0.417340624,0.417340624,29.16881378
2014-12-10 00:00:00,2014-12-17 00:00:00,8,0.243785,0.12762,1.020961,2014,2014_03,Moderate,0.450242517,0.450242517,28.23908003
2015-10-16 00:00:00,2015-10-23 00:00:00,8,0.104562,0.064546,0.516366,2015,2015_01,Moderate,0.472640376,0.472640376,29.64134855
2015-11-29 00:00:00,2015-12-06 00:00:00,8,0.304555,0.187545,1.500362,2015,2015_02,Moderate,0.418548057,0.430581224,29.05142915
2015-12-08 00:00:00,2015-12-26 00:00:00,19,0.334045,0.163008,3.097143,2015,2015_03,Moderate,0.448067094,0.449389219,28.70041672
2016-01-19 00:00:00,2016-01-24 00:00:00,6,0.132975,0.094685,0.568111,2016,2016_01,Moderate,0.457412264,0.457412264,27.86240278
2016-04-19 00:00:00,2016-05-19 00:00:00,31,0.533518,0.281997,8.7419,2016,2016_02,Moderate,0.728045076,0.775232404,31.15481224
2017-08-10 00:00:00,2017-08-16 00:00:00,7,0.101317,0.058292,0.408047,2017,2017_01,Moderate,0.508188463,0.508188463,29.10542677
2017-09-10 00:00:00,2017-09-17 00:00:00,8,0.098227,0.043274,0.346188,2017,2017_02,Moderate,0.433610861,0.437480701,29.25379651
2017-11-17 00:00:00,2017-11-21 00:00:00,5,0.194344,0.118666,0.593329,2017,2017_03,Moderate,0.358315442,0.358315442,28.80975848
2017-12-10 00:00:00,2017-12-17 00:00:00,8,0.191792,0.101207,0.809659,2017,2017_04,Moderate,0.445622408,0.449962666,28.35032448
2018-03-07 00:00:00,2018-03-15 00:00:00,9,0.060957,0.034252,0.30827,2018,2018_01,Moderate,0.426737407,0.426737407,28.91557364
2018-05-12 00:00:00,2018-05-31 00:00:00,20,0.311942,0.17235,3.446994,2018,2018_02,Moderate,0.683549052,0.752814822,30.57045126
2018-10-01 00:00:00,2018-10-07 00:00:00,7,0.269433,0.173796,1.216575,2018,2018_03,Moderate,0.479108423,0.479108423,29.17122317
2019-04-17 00:00:00,2019-04-26 00:00:00,10,0.204579,0.118942,1.189424,2019,2019_01,Moderate,0.619180012,0.619180012,30.42984348
2019-10-06 00:00:00,2019-10-21 00:00:00,16,0.276015,0.103332,1.653316,2019,2019_02,Moderate,0.473749507,0.483947807,29.69417154
2020-05-05 00:00:00,2020-05-14 00:00:00,10,0.209101,0.109539,1.095386,2020,2020_01,Moderate,0.770587755,0.770587755,30.84573201
2020-07-24 00:00:00,2020-07-31 00:00:00,8,0.111559,0.059857,0.47886,2020,2020_02,Moderate,0.500237149,0.500237149,29.75561979
2020-08-25 00:00:00,2020-09-12 00:00:00,19,0.302853,0.123095,2.338813,2020,2020_03,Moderate,0.461487085,0.474598237,29.82471667
2021-04-30 00:00:00,2021-05-25 00:00:00,26,0.464777,0.339108,8.816796,2021,2021_01,Moderate,0.729309546,0.773706068,30.92476878
2021-06-06 00:00:00,2021-06-10 00:00:00,5,0.045733,0.024582,0.122908,2021,2021_02,Moderate,0.49716133,0.49716133,30.21629439
2022-01-22 00:00:00,2022-01-27 00:00:00,6,0.10012,0.058921,0.353527,2022,2022_01,Moderate,0.457290951,0.457290951,28.02642449
2022-04-20 00:00:00,2022-05-08 00:00:00,19,0.577907,0.291475,5.538017,2022,2022_02,Moderate,0.724572902,0.775232404,30.80380918
2022-09-01 00:00:00,2022-09-05 00:00:00,5,0.049911,0.024651,0.123257,2022,2022_03,Moderate,0.455231734,0.455231734,29.36296624
2023-04-22 00:00:00,2023-05-03 00:00:00,12,0.342758,0.201687,2.420239,2023,2023_01,Moderate,0.688501102,0.738286516,30.70549021
2023-11-04 00:00:00,2023-11-18 00:00:00,15,0.224755,0.146983,2.204742,2023,2023_02,Moderate,0.354505573,0.358318033,29.65714569
2024-04-21 00:00:00,2024-05-17 00:00:00,27,0.662647,0.329252,8.889816,2024,2024_01,Moderate,0.715455794,0.768852583,31.28945076
2025-02-11 00:00:00,2025-02-18 00:00:00,8,0.178591,0.086215,0.689721,2025,2025_01,Moderate,0.431023868,0.431023868,28.19909675
2025-08-03 00:00:00,2025-08-11 00:00:00,9,0.183033,0.093951,0.845555,2025,2025_02,Moderate,0.508335265,0.513388623,29.47670372
2025-10-19 00:00:00,2025-10-24 00:00:00,6,0.052927,0.045628,0.273768,2025,2025_03,Moderate,0.467955688,0.467955688,29.48377683
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
